TT	Tên trường hợp sử dụng	Tác nhân chính	Tác nhân phụ	Mức độ cần thiết	Độ phức tạp	Giao dịch (Transaction)
						Nhà quản lý chọn bật hoặc tắt hệ thống quan trắc (bảo trì), hệ thống thực hiện chuyển đổi trạng thái hoạt động của toàn bộ hệ thống.
34	Quản lý khung thời gian gửi dữ liệu ảnh lên server	Quản trị viên		B	Trung bình	Nhà quản lý chọn mục quản lý khung thời gian gửi dữ liệu ảnh lên server, hệ thống hiển thị giao diện quản lý khung thời gian.
						Nhà quản lý chọn nút “Thêm”, hệ thống hiển thị form nhập khung thời gian gửi dữ liệu. Nhà quản lý nhập thông tin và nhấn “Lưu”, hệ thống kiểm tra hợp lệ và lưu khung thời gian mới vào cơ sở dữ liệu, đồng thời cập nhật danh sách.
						Nhà quản lý chọn một khung thời gian và nhấn nút “Sửa”, hệ thống hiển thị form chỉnh sửa với thông tin hiện tại. Nhà quản lý điều chỉnh dữ liệu và nhấn “Cập nhật”, hệ thống ghi nhận thay đổi và cập nhật khung thời gian trong danh sách.
						Nhà quản lý chọn một khung thời gian và nhấn nút “Xóa”, hệ thống hiển thị hộp thoại xác nhận. Nhà quản lý xác nhận thao tác, hệ thống thực hiện xóa khung thời gian khỏi cơ sở dữ liệu và làm mới danh sách.
35	Cảnh báo bệnh sương mai tự động dựa trên hình ảnh	Quản trị viên	Core AI	T	Phức tạp	Quản trị viên truy cập tính năng Cảnh báo bệnh sương mai tự động dựa trên hình ảnh, hệ thống hiển thị giao diện quản lý
						Quản trị viên thực hiện kích hoạt tính năng Cảnh báo bệnh sương mai tự động dựa trên hình ảnh. Hệ thống dựa vào cấu hình thời gian thu thập hình ảnh từ trạm quan trắc, tiến hành tự động thu thập hình ảnh và gửi đến Core AI để kiểm tra.
						Code AI tiếp nhận hình ảnh cần chuẩn đoán, hệ thống thông báo đã tiếp nhận hình ảnh thành công
						Core AI tiến hành tiền xử lý ảnh để phân tích, hệ thống thông báo Core AI đang thực hiện phân tích tiền xử lý
						Core AI phân tích hình ảnh và chuẩn đoán, hệ thống thông báo Core AI đang thực hiện phân tích hình ảnh và chuẩn đoán
						Core AI gửi trả kết quả, hệ thống nhận kết quả và hệ thống đưa ra thông báo đã nhận kết quả trả về
						Hệ thống nhận được kết quả, thông báo nhận được thành công và hệ thống lưu kết quả vào CSDL.
						Nếu kết quả trả về phát hiện có bệnh, hệ thống tự động gửi thông báo đến người dùng quản lý vùng trồng tương ứng.
36	Cảnh báo sâu đục cuống tự động dựa trên dữ liệu vi khí hậu	Quản trị viên	Core AI	T	Phức tạp	Quản trị viên truy cập tính năng Cảnh báo sâu đục cuống tự động dựa trên hình ảnh. Hệ thống hiển thị giao diện quản lý
						Quản trị viên thực hiện kích hoạt tính năng Cảnh báo bệnh sương mai tự động dựa trên hình ảnh. Hệ thống dựa vào cấu hình thời gian thu thập hình ảnh từ trạm quan trắc, tiến hành tự động thu thập hình ảnh và gửi đến Core AI để kiểm tra. Sau khi nhận được kết quả, hệ thống lưu kết quả vào CSDL.
						Code AI tiếp nhận hình ảnh cần chuẩn đoán, hệ thống thông báo đã tiếp nhận hình ảnh thành công
						Core AI tiến hành tiền xử lý ảnh để phân tích, hệ thống thông báo Core AI đang thực hiện phân tích tiền xử lý
						Core AI phân tích hình ảnh và chuẩn đoán, hệ thống thông báo Core AI đang thực hiện phân tích hình ảnh và chuẩn đoán
						Core AI gửi trả kết quả, hệ thống nhận kết quả và hệ thống đưa ra thông báo đã nhận kết quả trả về
						Nếu kết quả trả về phát hiện có bệnh, hệ thống tự động gửi thông báo đến người dùng quản lý vùng trồng tương ứng.
						Từ danh sách vùng trồng, người dùng chọn xem biểu đồ trạng thái phát triển của sâu đục cuống tài một vùng trồng. Hệ thống dựa trên dữ liệu kết quả từ Core AI dự đoán, xử lý dữ liệu và hiển thị cho người dùng.
						Người dùng có thể tìm kiếm vùng trồng theo mã vùng trồng, khu vực. Hệ thống truy vấn cơ sở dữ liệu và hiển thị kết quả tìm được.
37	Quản lý thông báo	Nhà quản lý		B	Trung bình	Nhà quản lý chọn mục Quản lý thông báo, hệ thống hiển thị danh sách tất cả thông báo hiện có kèm bộ lọc cơ bản.
						Nhà quản lý có thể thêm thông báo mới bằng cách nhấn nút Thêm thông báo, hệ thống hiển thị form nhập.
						Nhà quản lý có thể xóa thông báo bằng cách nhấn nút Xóa, hệ thống hiển thị thông báo xác nhận, nếu đồng ý, hệ thống xóa thông báo khỏi CSDL.
						Nhà quản lý có thể tìm kiếm thông báo bằng từ khóa (tiêu đề, nội dung) hoặc lọc theo ngày tạo, người tạo, mức ưu tiên. Hệ thống truy vấn CSDL và hiển thị kết quả phù hợp.
38	Quản lý hòm thư liên hệ	Nhà quản lý		B	Trung bình	Nhà quản lý chọn mục quản lý đơn liên hệ, hệ thống hiển thị danh sách các đơn liên hệ từ Người dùng
						Nhà quản lý có thể tìm kiếm hoặc lọc đơn liên hệ bằng cách nhập từ khóa hoặc chọn bộ lọc phù hợp, hệ thống tải lại danh sách theo điều kiện đã chọn.
						Khi Nhà quản lý chọn một đơn liên hệ, hệ thống hiển thị chi tiết đơn gồm nội dung người gửi, thông tin liên hệ và lịch sử phản hồi (nếu có).
						Nhà quản lý có thể phản hồi đơn liên hệ bằng nút Phản hồi, hệ thống hiển thị form nhập nội dung. Sau khi Nhà quản lý gửi phản hồi, hệ thống lưu thông tin phản hồi và cập nhật trạng thái đơn.
						Nhà quản lý có thể xóa đơn liên hệ bằng nút Xóa, hệ thống yêu cầu xác nhận và xóa đơn liên hệ khỏi CSDL nếu được xác nhận.
39	Quản lý tin tức	Nhà quản lý		B	Phức tạp	Nhà quản lý truy cập vào mục “Quản lý tin tức”, hệ thống truy xuất dữ liệu từ CSDL và hiển thị giao diện danh sách các bài viết hiện có.
						Nhà quản lý nhập từ khóa vào ô tìm kiếm và nhấn “Tìm”, hệ thống lọc dữ liệu trong CSDL và hiển thị các tin tức phù hợp.
						Nhà quản lý nhấn nút “Thêm tin tức”, hệ thống hiển thị biểu mẫu soạn thảo (Tiêu đề, Tóm tắt, Nội dung chi tiết, Hình ảnh...). Nhà quản lý nhập nội dung và nhấn “Lưu”, hệ thống kiểm tra tính hợp lệ của dữ liệu (Các trường đầy đủ, ảnh hợp lệ, không bị trùng slug,...).
						Nếu không hợp lệ, hệ thống hiển thị lỗi và yêu cầu người dùng nhập lại dữ liệu. Nếu hợp lệ, hệ thống lưu bài viết mới vào CSDL và thông báo thành công.
						Nhà quản lý chọn một bài viết và nhấn “Sửa”, hệ thống lấy thông tin chi tiết của bài viết đó từ CSDL và hiển thị lên biểu mẫu để chỉnh sửa. Nhà quản lý cập nhật nội dung và nhấn “Lưu thay đổi”, hệ thống kiểm tra tính hợp lệ của dữ liệu (Các trường đầy đủ, ảnh hợp lệ,...).
						Nếu không hợp lệ, hệ thống hiển thị lỗi và yêu cầu người dùng nhập lại dữ liệu. Nếu hợp lệ, hệ thống sửa thông tin bài viết, lưu vào CSDL và thông báo thành công.
						Nhà quản lý nhấn nút “Xóa” trên một bài viết, hệ thống hiển thị hộp thoại yêu cầu xác nhận để tránh xóa nhầm. Nhà quản lý nhấn “Đồng ý”, hệ thống thực hiện xóa bài viết khỏi CSDL và thông báo đã xóa thành công.
40	Quản lý kiến thức nông nghiệp	Nhà quản lý
41	Quản lý log lỗi hệ thống	Nhà quản lý
42	Quản lý lịch sử truy cập hệ thống	Nhà quản lý
43	Xem bản đồ vùng trồng và trạm quan trắc	Người dùng, Nhà quản lý
44	Giám sát dữ liệu cảm biến	Người dùng, Nhà quản lý
45	Giám sát hình ảnh/video	Người dùng, Nhà quản lý
46	Quản lý tọa độ ảnh chụp tự động	Người dùng, Nhà quản lý
47	Chẩn đoán bệnh sương mai qua hình ảnh chọn thủ công	Người dùng, Nhà quản lý	Core AI
48	Kiểm tra vòng đời sâu đục cuống tại vùng trồng	Người dùng, Nhà quản lý	Core AI
49	Chatbot AI tư vấn nông nghệp	Người dùng, Nhà quản lý	Core AI
II. Phân hệ hệ thống IoT 
50	Gửi dữ liệu quan trắc về server	Hệ thống IoT
51	Gửi dữ liệu ảnh camera về server	Hệ thống IoT
III. Phân hệ AI
52	Gán nhãn dữ liệu hình ảnh	Quản trị viên
53	Quản lý dữ liệu hình ảnh	Quản trị viên
54	Kiểm tra chéo hình ảnh gán nhãn	Nhà quản lý
55	Xuất tập dữ liệu ảnh gán nhãn	Quản trị viên
56	Gán nhãn dữ liệu chatbot	Quản trị viên
57	Xuất tập dữ liệu văn bản gán nhãn 	Quản trị viên
58	Quản lý cơ sở tri thức chatbot	Quản trị viên


TT	Tên tác nhân	Mô tả tác nhân	Phân loại tác nhân
1	Nhà quản lý	Đây là các cán bộ thuộc cơ quan quản lý nhà nước, cụ thể là Sở Nông nghiệp và Môi trường tỉnh Bắc Ninh. Họ sử dụng hệ thống để giám sát tổng quan và quản lý	Phức tạp
2	Người dùng	Đây là đối tượng sử dụng trực tiếp ứng dụng. Họ cần nhận cảnh báo và các tư vấn kỹ thuật	Phức tạp
3	Quản trị viên	Đây là đối tượng thuộc hệ thống, có chức năng xử lý dữ liệu, hình ảnh và phân tich hiển thị	Phức tạp
